Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000158555,GDPD5,Gene Expression,0.6451625593320469,0.0,0.0,18786,3.3915079281185805,2103
ENSG00000006534,ALDH3B1,Gene Expression,0.6447623002985914,0.0,0.0,17529,2.7909341876432263,2056
ENSG00000111728,ST8SIA1,Gene Expression,0.6446729575561061,0.0,0.0,42891,7.57183360220075,2320
ENSG00000135929,CYP27A1,Gene Expression,0.6446718282474622,0.0,0.0,28181,5.005329390504665,2236
ENSG00000156467,UQCRB,Gene Expression,0.6445123385631724,0.0,0.0,111152,18.94467218349912,2729
ENSG00000204387,SNHG32,Gene Expression,0.6442921815913482,0.0,0.0,42873,7.238328741035282,2406
ENSG00000184489,PTP4A3,Gene Expression,0.6439085562616401,0.0,0.0,38377,7.589822106020876,2469
ENSG00000171067,C11orf24,Gene Expression,0.6438781903762922,0.0,0.0,45989,8.123590290172737,2446
ENSG00000182287,AP1S2,Gene Expression,0.6438685328344421,0.0,0.0,25237,4.333707195429328,2209
ENSG00000241484,ARHGAP8,Gene Expression,0.6430143007739512,0.0,0.0,24192,4.277610406160399,2156
ENSG00000073792,IGF2BP2,Gene Expression,0.642111312845967,0.0,0.0,16969,2.989868059699913,2099
ENSG00000183876,ARSI,Gene Expression,0.6416428453980405,0.0,0.0,16113,2.9663063547635136,2054
ENSG00000186832,KRT16,Gene Expression,0.6384383899156804,0.0,0.0,42447,20.17642941958953,1549
ENSG00000137845,ADAM10,Gene Expression,0.637765019269725,0.0,0.0,36396,6.322759451835065,2378
ENSG00000141756,FKBP10,Gene Expression,0.6377502367933707,0.0,0.0,64615,11.694217256116124,2525
ENSG00000164687,FABP5,Gene Expression,0.6373198569236741,0.0,0.0,126481,23.707492943831564,2754
ENSG00000175793,SFN,Gene Expression,0.6372172442833549,0.0,0.0,15202,9.382349513171956,1477
ENSG00000184428,TOP1MT,Gene Expression,0.6368632282563472,0.0,0.0,26970,4.598059136765042,2268
ENSG00000161249,DMKN,Gene Expression,0.6367866798208096,0.0,0.0,97324,28.104361746667646,2834
ENSG00000121552,CSTA,Gene Expression,0.6364332361137871,0.0,0.0,13378,9.889654172285637,1295
ENSG00000049449,RCN1,Gene Expression,0.6364177395871503,0.0,0.0,30851,5.295983205029336,2308
ENSG00000171132,PRKCE,Gene Expression,0.6363635381684588,0.0,0.0,21872,3.997373878363012,2185
ENSG00000169469,SPRR1B,Gene Expression,0.6360060585391383,0.0,0.0,23531,11.009942043491758,1090
ENSG00000157873,TNFRSF14,Gene Expression,0.6346541323024765,0.0,0.0,65790,11.790484189084925,2542
ENSG00000131730,CKMT2,Gene Expression,0.6336205360103431,0.0,0.0,9279,1.6996360770102261,1894
ENSG00000169750,RAC3,Gene Expression,0.6312609683120715,0.0,0.0,14233,2.380902803330351,2072
ENSG00000130208,APOC1,Gene Expression,0.6308356367125215,0.0,0.0,10399,1.9326454023536175,1915
ENSG00000165868,HSPA12A,Gene Expression,0.630823371112452,0.0,0.0,10167,1.841133338926173,1904
ENSG00000198712,MT-CO2,Gene Expression,0.6307988818085503,0.0,0.0,1516136,287.60531191802266,3445
ENSG00000162951,LRRTM1,Gene Expression,0.6302728270819276,0.0,0.0,10009,1.7460406671529862,1934
ENSG00000183615,FAM167B,Gene Expression,0.6298471383478234,0.0,0.0,16766,3.008567380455874,2099
ENSG00000205420,KRT6A,Gene Expression,0.629207813222099,0.0,0.0,37468,17.257395097125823,1719
ENSG00000160886,LY6K,Gene Expression,0.6288458707666237,0.0,0.0,26955,4.751115708313098,2233
ENSG00000071575,TRIB2,Gene Expression,0.6288076064547731,0.0,0.0,35567,6.700781130398065,2378
ENSG00000198938,MT-CO3,Gene Expression,0.6287083998739309,0.0,0.0,2094913,410.2773366241464,3448
ENSG00000122574,WIPF3,Gene Expression,0.6274686419573262,0.0,0.0,10672,1.8459831186231688,1955
ENSG00000163081,CCDC140,Gene Expression,0.627349517790063,0.0,0.0,9212,1.5402618771319598,1923
ENSG00000104549,SQLE,Gene Expression,0.6259698398312659,0.0,0.0,23907,4.031726879364539,2230
ENSG00000153485,TMEM251,Gene Expression,0.6254902015650808,0.0,0.0,18251,3.0806245528214022,2127
ENSG00000049759,NEDD4L,Gene Expression,0.6251753570096478,0.0,0.0,27021,4.8554579857012365,2288
ENSG00000104763,ASAH1,Gene Expression,0.6246164093149498,0.0,0.0,34417,6.24625826474879,2389
ENSG00000134762,DSC3,Gene Expression,0.6234203307682689,0.0,0.0,8343,6.222498054222852,1247
ENSG00000075240,GRAMD4,Gene Expression,0.6215826266785753,0.0,0.0,37152,6.3992732568470805,2381
ENSG00000064763,FAR2,Gene Expression,0.6212361386001365,0.0,0.0,8233,1.5630760636725198,1728
ENSG00000136235,GPNMB,Gene Expression,0.621131962099156,0.0,0.0,185757,33.971837973979355,2910
ENSG00000250479,CHCHD10,Gene Expression,0.6211306206330521,0.0,0.0,39729,7.1660165670257205,2412
ENSG00000110721,CHKA,Gene Expression,0.6203191916648129,0.0,0.0,21738,3.8995756751750656,2200
ENSG00000173482,PTPRM,Gene Expression,0.6198732379237161,0.0,0.0,28363,5.478400127880785,2292
ENSG00000198108,CHSY3,Gene Expression,0.6198356596856335,0.0,0.0,13375,2.3763634199662977,2054
ENSG00000107263,RAPGEF1,Gene Expression,0.6197003484036632,0.0,0.0,47193,8.482193829423855,2470
ENSG00000133710,SPINK5,Gene Expression,0.6166221654655702,0.0,0.0,4997,4.572352365457588,731
ENSG00000239672,NME1,Gene Expression,0.6157794191772762,0.0,0.0,31912,5.586732408385975,2372
ENSG00000081277,PKP1,Gene Expression,0.6145557661209345,0.0,0.0,6322,5.168268028125438,1099
ENSG00000065060,UHRF1BP1,Gene Expression,0.6144065312806344,0.0,0.0,15174,2.595149756131068,2098
ENSG00000141753,IGFBP4,Gene Expression,0.6138540594090036,0.0,0.0,11887,14.319707978065438,2754
ENSG00000100344,PNPLA3,Gene Expression,0.6136498182960207,0.0,0.0,13386,2.333256456763953,2012
ENSG00000130147,SH3BP4,Gene Expression,0.6133657958906291,0.0,0.0,21428,4.284331628606975,2256
ENSG00000115993,TRAK2,Gene Expression,0.6126343936939845,0.0,0.0,27468,5.151041119468457,2295
ENSG00000197084,LCE1C,Gene Expression,0.6121886575257878,0.0,0.0,3647,5.873721814600187,583
ENSG00000100321,SYNGR1,Gene Expression,0.6119547032630158,0.0,0.0,36242,6.8275207262813185,2406
ENSG00000147677,EIF3H,Gene Expression,0.6108896137060909,0.0,0.0,45538,7.828391965022608,2476
ENSG00000161091,MFSD12,Gene Expression,0.6107722620265026,0.0,0.0,19595,3.405000399633572,2173
ENSG00000110841,PPFIBP1,Gene Expression,0.6105809563083415,0.0,0.0,100015,18.324113593333305,2691
ENSG00000103994,ZNF106,Gene Expression,0.6105559346319335,0.0,0.0,84252,14.843353862661333,2638
ENSG00000100347,SAMM50,Gene Expression,0.6104800846784515,0.0,0.0,25880,4.493907027654456,2275
ENSG00000111670,GNPTAB,Gene Expression,0.6102153699444961,0.0,0.0,34204,6.279451720922582,2404
ENSG00000163956,LRPAP1,Gene Expression,0.6097461971230351,0.0,0.0,61758,11.464817822440033,2589
ENSG00000153317,ASAP1,Gene Expression,0.6085460192074845,0.0,0.0,58810,10.646501008439103,2564
